observation_date,PERMIT
1/1/1960,1092
2/1/1960,1088
3/1/1960,955
4/1/1960,1016
5/1/1960,1052
6/1/1960,958
7/1/1960,999
8/1/1960,994
9/1/1960,984
10/1/1960,972
11/1/1960,979
12/1/1960,951
1/1/1961,969
2/1/1961,961
3/1/1961,1000
4/1/1961,1002
5/1/1961,1027
6/1/1961,1070
7/1/1961,1083
8/1/1961,1159
9/1/1961,1098
10/1/1961,1123
11/1/1961,1152
12/1/1961,1161
1/1/1962,1122
2/1/1962,1194
3/1/1962,1134
4/1/1962,1235
5/1/1962,1142
6/1/1962,1154
7/1/1962,1189
8/1/1962,1200
9/1/1962,1223
10/1/1962,1181
11/1/1962,1236
12/1/1962,1236
1/1/1963,1248
2/1/1963,1212
3/1/1963,1258
4/1/1963,1288
5/1/1963,1350
6/1/1963,1345
7/1/1963,1321
8/1/1963,1310
9/1/1963,1413
10/1/1963,1414
11/1/1963,1357
12/1/1963,1423
1/1/1964,1296
2/1/1964,1442
3/1/1964,1313
4/1/1964,1264
5/1/1964,1299
6/1/1964,1280
7/1/1964,1304
8/1/1964,1306
9/1/1964,1265
10/1/1964,1230
11/1/1964,1254
12/1/1964,1164
1/1/1965,1264
2/1/1965,1185
3/1/1965,1211
4/1/1965,1162
5/1/1965,1207
6/1/1965,1241
7/1/1965,1237
8/1/1965,1249
9/1/1965,1227
10/1/1965,1279
11/1/1965,1306
12/1/1965,1315
1/1/1966,1325
2/1/1966,1159
3/1/1966,1234
4/1/1966,1145
5/1/1966,1078
6/1/1966,956
7/1/1966,932
8/1/1966,877
9/1/1966,774
10/1/1966,739
11/1/1966,736
12/1/1966,743
1/1/1967,995
2/1/1967,907
3/1/1967,955
4/1/1967,1035
5/1/1967,1076
6/1/1967,1169
7/1/1967,1177
8/1/1967,1229
9/1/1967,1279
10/1/1967,1280
11/1/1967,1297
12/1/1967,1315
1/1/1968,1179
2/1/1968,1342
3/1/1968,1370
4/1/1968,1286
5/1/1968,1297
6/1/1968,1300
7/1/1968,1344
8/1/1968,1357
9/1/1968,1464
10/1/1968,1421
11/1/1968,1436
12/1/1968,1389
1/1/1969,1459
2/1/1969,1495
3/1/1969,1438
4/1/1969,1441
5/1/1969,1328
6/1/1969,1349
7/1/1969,1278
8/1/1969,1317
9/1/1969,1263
10/1/1969,1216
11/1/1969,1191
12/1/1969,1155
1/1/1970,1062
2/1/1970,1118
3/1/1970,1132
4/1/1970,1224
5/1/1970,1328
6/1/1970,1322
7/1/1970,1324
8/1/1970,1394
9/1/1970,1426
10/1/1970,1564
11/1/1970,1502
12/1/1970,1767
1/1/1971,1643
2/1/1971,1588
3/1/1971,1759
4/1/1971,1745
5/1/1971,1972
6/1/1971,1903
7/1/1971,2069
8/1/1971,2004
9/1/1971,1996
10/1/1971,2026
11/1/1971,2079
12/1/1971,2133
1/1/1972,2238
2/1/1972,2169
3/1/1972,2105
4/1/1972,2139
5/1/1972,2067
6/1/1972,2183
7/1/1972,2195
8/1/1972,2263
9/1/1972,2393
10/1/1972,2354
11/1/1972,2234
12/1/1972,2419
1/1/1973,2271
2/1/1973,2226
3/1/1973,2062
4/1/1973,1908
5/1/1973,1931
6/1/1973,2051
7/1/1973,1819
8/1/1973,1809
9/1/1973,1704
10/1/1973,1411
11/1/1973,1402
12/1/1973,1288
1/1/1974,1331
2/1/1974,1360
3/1/1974,1440
4/1/1974,1254
5/1/1974,1138
6/1/1974,1086
7/1/1974,1002
8/1/1974,917
9/1/1974,840
10/1/1974,824
11/1/1974,783
12/1/1974,869
1/1/1975,726
2/1/1975,729
3/1/1975,709
4/1/1975,866
5/1/1975,914
6/1/1975,946
7/1/1975,1020
8/1/1975,994
9/1/1975,1064
10/1/1975,1096
11/1/1975,1110
12/1/1975,1091
1/1/1976,1195
2/1/1976,1190
3/1/1976,1164
4/1/1976,1132
5/1/1976,1194
6/1/1976,1188
7/1/1976,1245
8/1/1976,1309
9/1/1976,1481
10/1/1976,1425
11/1/1976,1531
12/1/1976,1511
1/1/1977,1466
2/1/1977,1560
3/1/1977,1660
4/1/1977,1660
5/1/1977,1668
6/1/1977,1752
7/1/1977,1687
8/1/1977,1780
9/1/1977,1674
10/1/1977,1758
11/1/1977,1771
12/1/1977,1754
1/1/1978,1740
2/1/1978,1736
3/1/1978,1799
4/1/1978,1948
5/1/1978,1766
6/1/1978,1983
7/1/1978,1786
8/1/1978,1691
9/1/1978,1751
10/1/1978,1781
11/1/1978,1795
12/1/1978,1818
1/1/1979,1461
2/1/1979,1492
3/1/1979,1720
4/1/1979,1597
5/1/1979,1684
6/1/1979,1640
7/1/1979,1534
8/1/1979,1591
9/1/1979,1638
10/1/1979,1481
11/1/1979,1276
12/1/1979,1254
1/1/1980,1280
2/1/1980,1199
3/1/1980,988
4/1/1980,808
5/1/1980,861
6/1/1980,1118
7/1/1980,1259
8/1/1980,1367
9/1/1980,1484
10/1/1980,1366
11/1/1980,1383
12/1/1980,1249
1/1/1981,1221
2/1/1981,1199
3/1/1981,1183
4/1/1981,1190
5/1/1981,1173
6/1/1981,976
7/1/1981,935
8/1/1981,889
9/1/1981,847
10/1/1981,731
11/1/1981,748
12/1/1981,796
1/1/1982,794
2/1/1982,808
3/1/1982,891
4/1/1982,888
5/1/1982,953
6/1/1982,913
7/1/1982,1044
8/1/1982,926
9/1/1982,1042
10/1/1982,1149
11/1/1982,1229
12/1/1982,1351
1/1/1983,1426
2/1/1983,1471
3/1/1983,1475
4/1/1983,1566
5/1/1983,1669
6/1/1983,1769
7/1/1983,1795
8/1/1983,1713
9/1/1983,1585
10/1/1983,1716
11/1/1983,1668
12/1/1983,1627
1/1/1984,1816
2/1/1984,1987
3/1/1984,1725
4/1/1984,1776
5/1/1984,1741
6/1/1984,1814
7/1/1984,1605
8/1/1984,1530
9/1/1984,1523
10/1/1984,1490
11/1/1984,1643
12/1/1984,1626
1/1/1985,1660
2/1/1985,1662
3/1/1985,1727
4/1/1985,1664
5/1/1985,1709
6/1/1985,1716
7/1/1985,1697
8/1/1985,1808
9/1/1985,1916
10/1/1985,1743
11/1/1985,1692
12/1/1985,1794
1/1/1986,1847
2/1/1986,1767
3/1/1986,1780
4/1/1986,1858
5/1/1986,1797
6/1/1986,1790
7/1/1986,1780
8/1/1986,1726
9/1/1986,1686
10/1/1986,1675
11/1/1986,1644
12/1/1986,1903
1/1/1987,1690
2/1/1987,1689
3/1/1987,1704
4/1/1987,1601
5/1/1987,1500
6/1/1987,1522
7/1/1987,1516
8/1/1987,1511
9/1/1987,1514
10/1/1987,1447
11/1/1987,1457
12/1/1987,1345
1/1/1988,1244
2/1/1988,1438
3/1/1988,1525
4/1/1988,1429
5/1/1988,1444
6/1/1988,1485
7/1/1988,1439
8/1/1988,1460
9/1/1988,1436
10/1/1988,1516
11/1/1988,1508
12/1/1988,1501
1/1/1989,1466
2/1/1989,1383
3/1/1989,1214
4/1/1989,1376
5/1/1989,1381
6/1/1989,1322
7/1/1989,1283
8/1/1989,1334
9/1/1989,1314
10/1/1989,1365
11/1/1989,1344
12/1/1989,1422
1/1/1990,1748
2/1/1990,1329
3/1/1990,1246
4/1/1990,1136
5/1/1990,1067
6/1/1990,1108
7/1/1990,1078
8/1/1990,1069
9/1/1990,976
10/1/1990,925
11/1/1990,941
12/1/1990,861
1/1/1991,786
2/1/1991,853
3/1/1991,911
4/1/1991,916
5/1/1991,991
6/1/1991,964
7/1/1991,973
8/1/1991,944
9/1/1991,974
10/1/1991,991
11/1/1991,984
12/1/1991,1061
1/1/1992,1077
2/1/1992,1146
3/1/1992,1082
4/1/1992,1054
5/1/1992,1056
6/1/1992,1057
7/1/1992,1089
8/1/1992,1075
9/1/1992,1114
10/1/1992,1132
11/1/1992,1118
12/1/1992,1176
1/1/1993,1177
2/1/1993,1148
3/1/1993,1056
4/1/1993,1104
5/1/1993,1112
6/1/1993,1130
7/1/1993,1174
8/1/1993,1230
9/1/1993,1251
10/1/1993,1287
11/1/1993,1357
12/1/1993,1461
1/1/1994,1390
2/1/1994,1269
3/1/1994,1342
4/1/1994,1392
5/1/1994,1396
6/1/1994,1357
7/1/1994,1335
8/1/1994,1377
9/1/1994,1412
10/1/1994,1397
11/1/1994,1340
12/1/1994,1396
1/1/1995,1282
2/1/1995,1254
3/1/1995,1226
4/1/1995,1259
5/1/1995,1271
6/1/1995,1305
7/1/1995,1354
8/1/1995,1386
9/1/1995,1421
10/1/1995,1400
11/1/1995,1430
12/1/1995,1442
1/1/1996,1387
2/1/1996,1420
3/1/1996,1437
4/1/1996,1463
5/1/1996,1457
6/1/1996,1429
7/1/1996,1450
8/1/1996,1413
9/1/1996,1392
10/1/1996,1358
11/1/1996,1412
12/1/1996,1411
1/1/1997,1382
2/1/1997,1445
3/1/1997,1436
4/1/1997,1421
5/1/1997,1414
6/1/1997,1402
7/1/1997,1440
8/1/1997,1449
9/1/1997,1494
10/1/1997,1499
11/1/1997,1469
12/1/1997,1456
1/1/1998,1555
2/1/1998,1647
3/1/1998,1605
4/1/1998,1547
5/1/1998,1554
6/1/1998,1551
7/1/1998,1610
8/1/1998,1654
9/1/1998,1577
10/1/1998,1719
11/1/1998,1672
12/1/1998,1742
1/1/1999,1732
2/1/1999,1720
3/1/1999,1665
4/1/1999,1600
5/1/1999,1640
6/1/1999,1702
7/1/1999,1682
8/1/1999,1671
9/1/1999,1551
10/1/1999,1649
11/1/1999,1672
12/1/1999,1683
1/1/2000,1727
2/1/2000,1692
3/1/2000,1651
4/1/2000,1597
5/1/2000,1543
6/1/2000,1572
7/1/2000,1542
8/1/2000,1552
9/1/2000,1570
10/1/2000,1577
11/1/2000,1614
12/1/2000,1543
1/1/2001,1699
2/1/2001,1656
3/1/2001,1659
4/1/2001,1666
5/1/2001,1665
6/1/2001,1626
7/1/2001,1598
8/1/2001,1615
9/1/2001,1565
10/1/2001,1566
11/1/2001,1651
12/1/2001,1680
1/1/2002,1665
2/1/2002,1787
3/1/2002,1691
4/1/2002,1669
5/1/2002,1716
6/1/2002,1758
7/1/2002,1738
8/1/2002,1695
9/1/2002,1803
10/1/2002,1799
11/1/2002,1771
12/1/2002,1896
1/1/2003,1808
2/1/2003,1854
3/1/2003,1757
4/1/2003,1803
5/1/2003,1835
6/1/2003,1875
7/1/2003,1885
8/1/2003,1966
9/1/2003,1961
10/1/2003,2012
11/1/2003,1918
12/1/2003,1987
1/1/2004,1952
2/1/2004,1966
3/1/2004,2066
4/1/2004,2070
5/1/2004,2150
6/1/2004,2020
7/1/2004,2112
8/1/2004,2056
9/1/2004,2041
10/1/2004,2097
11/1/2004,2079
12/1/2004,2082
1/1/2005,2139
2/1/2005,2114
3/1/2005,2062
4/1/2005,2150
5/1/2005,2085
6/1/2005,2178
7/1/2005,2203
8/1/2005,2219
9/1/2005,2263
10/1/2005,2170
11/1/2005,2218
12/1/2005,2120
1/1/2006,2212
2/1/2006,2141
3/1/2006,2118
4/1/2006,1998
5/1/2006,1905
6/1/2006,1867
7/1/2006,1763
8/1/2006,1722
9/1/2006,1655
10/1/2006,1570
11/1/2006,1535
12/1/2006,1638
1/1/2007,1626
2/1/2007,1598
3/1/2007,1596
4/1/2007,1470
5/1/2007,1493
6/1/2007,1407
7/1/2007,1361
8/1/2007,1321
9/1/2007,1261
10/1/2007,1192
11/1/2007,1224
12/1/2007,1149
1/1/2008,1094
2/1/2008,1014
3/1/2008,967
4/1/2008,1008
5/1/2008,995
6/1/2008,1180
7/1/2008,921
8/1/2008,858
9/1/2008,797
10/1/2008,736
11/1/2008,626
12/1/2008,554
1/1/2009,545
2/1/2009,558
3/1/2009,513
4/1/2009,521
5/1/2009,556
6/1/2009,601
7/1/2009,595
8/1/2009,616
9/1/2009,609
10/1/2009,583
11/1/2009,623
12/1/2009,664
1/1/2010,636
2/1/2010,650
3/1/2010,687
4/1/2010,637
5/1/2010,575
6/1/2010,587
7/1/2010,579
8/1/2010,580
9/1/2010,563
10/1/2010,558
11/1/2010,560
12/1/2010,632
1/1/2011,576
2/1/2011,542
3/1/2011,583
4/1/2011,581
5/1/2011,618
6/1/2011,636
7/1/2011,621
8/1/2011,647
9/1/2011,610
10/1/2011,671
11/1/2011,706
12/1/2011,697
1/1/2012,712
2/1/2012,738
3/1/2012,806
4/1/2012,732
5/1/2012,796
6/1/2012,794
7/1/2012,849
8/1/2012,840
9/1/2012,930
10/1/2012,887
11/1/2012,917
12/1/2012,941
1/1/2013,940
2/1/2013,980
3/1/2013,936
4/1/2013,1012
5/1/2013,1003
6/1/2013,942
7/1/2013,997
8/1/2013,964
9/1/2013,1004
10/1/2013,1044
11/1/2013,1029
12/1/2013,1005
1/1/2014,976
2/1/2014,1039
3/1/2014,1067
4/1/2014,1090
5/1/2014,1018
6/1/2014,1010
7/1/2014,1076
8/1/2014,1047
9/1/2014,1077
10/1/2014,1094
11/1/2014,1059
12/1/2014,1072
1/1/2015,1049
2/1/2015,1127
3/1/2015,1072
4/1/2015,1166
5/1/2015,1272
6/1/2015,1379
7/1/2015,1140
8/1/2015,1165
9/1/2015,1144
10/1/2015,1160
11/1/2015,1244
12/1/2015,1211
1/1/2016,1171
2/1/2016,1172
3/1/2016,1118
4/1/2016,1160
5/1/2016,1205
6/1/2016,1208
7/1/2016,1198
8/1/2016,1201
