DATE,A576RC1
1959-01-01,252.3
1959-02-01,253.6
1959-03-01,256.1
1959-04-01,258.6
1959-05-01,260.8
1959-06-01,262.3
1959-07-01,262.1
1959-08-01,260.2
1959-09-01,260.4
1959-10-01,261.1
1959-11-01,263.2
1959-12-01,267.4
1960-01-01,270.1
1960-02-01,270.8
1960-03-01,271.3
1960-04-01,273.0
1960-05-01,273.7
1960-06-01,273.5
1960-07-01,274.4
1960-08-01,273.8
1960-09-01,273.8
1960-10-01,274.9
1960-11-01,273.7
1960-12-01,271.4
1961-01-01,273.4
1961-02-01,273.4
1961-03-01,274.5
1961-04-01,275.5
1961-05-01,277.4
1961-06-01,279.9
1961-07-01,281.2
1961-08-01,282.6
1961-09-01,283.0
1961-10-01,285.8
1961-11-01,288.9
1961-12-01,290.5
1962-01-01,290.8
1962-02-01,293.1
1962-03-01,295.9
1962-04-01,298.2
1962-05-01,298.7
1962-06-01,299.3
1962-07-01,300.3
1962-08-01,300.6
1962-09-01,302.6
1962-10-01,302.8
1962-11-01,304.5
1962-12-01,305.5
1963-01-01,306.4
1963-02-01,307.9
1963-03-01,309.6
1963-04-01,310.1
1963-05-01,312.2
1963-06-01,314.8
1963-07-01,315.1
1963-08-01,316.7
1963-09-01,318.8
1963-10-01,320.8
1963-11-01,321.6
1963-12-01,324.3
1964-01-01,324.9
1964-02-01,329.0
1964-03-01,330.7
1964-04-01,332.9
1964-05-01,334.9
1964-06-01,336.7
1964-07-01,339.1
1964-08-01,341.7
1964-09-01,343.4
1964-10-01,343.3
1964-11-01,346.5
1964-12-01,350.3
1965-01-01,350.9
1965-02-01,352.8
1965-03-01,354.7
1965-04-01,356.2
1965-05-01,359.5
1965-06-01,361.0
1965-07-01,363.7
1965-08-01,366.1
1965-09-01,368.8
1965-10-01,373.9
1965-11-01,377.1
1965-12-01,380.3
1966-01-01,382.1
1966-02-01,386.0
1966-03-01,389.2
1966-04-01,392.7
1966-05-01,395.5
1966-06-01,399.5
1966-07-01,403.4
1966-08-01,406.4
1966-09-01,408.7
1966-10-01,411.7
1966-11-01,413.7
1966-12-01,415.1
1967-01-01,418.2
1967-02-01,418.3
1967-03-01,420.1
1967-04-01,421.8
1967-05-01,422.7
1967-06-01,426.3
1967-07-01,429.1
1967-08-01,432.5
1967-09-01,434.4
1967-10-01,436.6
1967-11-01,442.0
1967-12-01,446.1
1968-01-01,448.9
1968-02-01,455.2
1968-03-01,458.6
1968-04-01,461.4
1968-05-01,466.2
1968-06-01,470.1
1968-07-01,474.5
1968-08-01,478.1
1968-09-01,482.4
1968-10-01,485.6
1968-11-01,489.9
1968-12-01,492.8
1969-01-01,495.3
1969-02-01,498.2
1969-03-01,503.7
1969-04-01,507.0
1969-05-01,511.3
1969-06-01,515.9
1969-07-01,522.0
1969-08-01,526.8
1969-09-01,530.5
1969-10-01,533.4
1969-11-01,536.4
1969-12-01,539.6
1970-01-01,542.0
1970-02-01,544.8
1970-03-01,548.5
1970-04-01,546.7
1970-05-01,548.7
1970-06-01,551.8
1970-07-01,554.9
1970-08-01,556.6
1970-09-01,555.7
1970-10-01,554.0
1970-11-01,555.1
1970-12-01,560.0
1971-01-01,567.7
1971-02-01,570.4
1971-03-01,573.4
1971-04-01,576.4
1971-05-01,581.5
1971-06-01,583.5
1971-07-01,585.1
1971-08-01,589.1
1971-09-01,592.2
1971-10-01,593.8
1971-11-01,596.5
1971-12-01,605.0
1972-01-01,612.0
1972-02-01,619.4
1972-03-01,624.0
1972-04-01,627.0
1972-05-01,630.0
1972-06-01,634.1
1972-07-01,636.0
1972-08-01,642.5
1972-09-01,648.4
1972-10-01,658.1
1972-11-01,663.5
1972-12-01,670.2
1973-01-01,676.1
1973-02-01,684.3
1973-03-01,689.6
1973-04-01,695.1
1973-05-01,699.8
1973-06-01,705.6
1973-07-01,711.7
1973-08-01,715.1
1973-09-01,721.8
1973-10-01,728.5
1973-11-01,736.6
1973-12-01,740.9
1974-01-01,743.8
1974-02-01,748.5
1974-03-01,752.2
1974-04-01,756.7
1974-05-01,766.1
1974-06-01,773.1
1974-07-01,776.9
1974-08-01,783.0
1974-09-01,789.4
1974-10-01,795.5
1974-11-01,790.7
1974-12-01,791.4
1975-01-01,792.5
1975-02-01,790.3
1975-03-01,792.9
1975-04-01,793.3
1975-05-01,800.8
1975-06-01,806.9
1975-07-01,811.2
1975-08-01,823.6
1975-09-01,829.1
1975-10-01,837.9
1975-11-01,846.2
1975-12-01,853.2
1976-01-01,865.1
1976-02-01,872.0
1976-03-01,876.6
1976-04-01,883.5
1976-05-01,890.9
1976-06-01,893.8
1976-07-01,900.6
1976-08-01,909.6
1976-09-01,915.1
1976-10-01,920.5
1976-11-01,931.0
1976-12-01,938.4
1977-01-01,939.3
1977-02-01,950.8
1977-03-01,960.1
1977-04-01,969.8
1977-05-01,981.7
1977-06-01,991.2
1977-07-01,999.7
1977-08-01,1005.6
1977-09-01,1017.2
1977-10-01,1030.7
1977-11-01,1038.5
1977-12-01,1045.3
1978-01-01,1051.4
1978-02-01,1062.2
1978-03-01,1077.9
1978-04-01,1096.3
1978-05-01,1103.9
1978-06-01,1118.0
1978-07-01,1128.6
1978-08-01,1137.0
1978-09-01,1148.4
1978-10-01,1163.7
1978-11-01,1173.7
1978-12-01,1185.8
1979-01-01,1196.3
1979-02-01,1207.5
1979-03-01,1222.0
1979-04-01,1222.4
1979-05-01,1233.2
1979-06-01,1247.5
1979-07-01,1259.5
1979-08-01,1268.4
1979-09-01,1280.3
1979-10-01,1288.3
1979-11-01,1300.5
1979-12-01,1313.9
1980-01-01,1321.4
1980-02-01,1333.2
1980-03-01,1346.8
