Month,Manufacturing,Durable goods,Wood product manufacturing,Nonmetallic mineral product manufacturing,Primary metal manufacturing,Fabricated metal product manufacturing,Machinery manufacturing,Computer and electronic product manufacturing,"Electrical equipment, appliance, and component manufacturing",Transportation equipment manufacturing,Furniture and related product manufacturing,Miscellaneous manufacturing,Nondurable goods,Food manufacturing,Textile mills,Textile product mills,Apparel manufacturing,Paper manufacturing,Printing and related support activities,Chemical manufacturing,Plastics and rubber products manufacturing
Apr 2003,40.1,40.4,40.1,42.0,42.2,40.3,40.6,40.2,40.1,41.4,38.0,38.1,39.7,39.4,39.0,38.6,35.6,41.7,37.9,42.3,40.1
May 2003,40.2,40.6,39.9,42.5,42.4,40.7,40.7,40.5,40.4,41.5,38.5,38.2,39.6,39.3,38.6,38.9,35.5,41.3,37.9,42.1,40.3
June 2003,40.3,40.7,40.4,42.2,41.9,40.7,40.9,40.5,40.7,41.6,38.8,38.3,39.7,39.4,38.8,38.6,35.3,41.3,38.2,42.3,40.2
July 2003,40.1,40.6,40.7,41.9,41.7,40.4,40.3,40.3,40.2,41.6,39.0,38.3,39.5,39.0,37.5,39.7,34.6,41.1,38.0,42.2,40.1
Aug 2003,40.2,40.5,40.3,42.2,41.8,40.5,40.6,41.0,40.5,40.9,39.0,38.2,39.6,39.2,38.8,39.6,34.8,41.1,38.0,42.3,40.3
Sept 2003,40.5,40.9,40.5,41.9,42.3,40.6,40.9,40.5,40.6,42.2,39.2,38.4,39.9,39.3,39.1,40.4,35.2,41.2,38.2,42.4,40.6
Oct 2003,40.6,41.0,40.7,42.2,42.5,40.8,40.9,40.7,40.8,42.2,39.2,38.4,40.0,39.3,39.2,40.1,35.8,41.6,38.5,42.3,40.8
Nov 2003,40.9,41.4,41.4,42.5,42.8,41.0,41.2,40.8,40.8,43.0,39.9,39.1,40.2,39.3,39.9,39.9,36.5,41.9,38.6,42.8,40.9
Dec 2003,40.7,41.2,40.9,42.2,42.8,41.0,41.1,40.4,40.8,42.7,39.7,38.6,40.0,39.2,39.8,39.5,35.9,41.9,38.3,42.5,40.7
Jan 2004,40.9,41.5,41.1,42.5,43.1,41.3,41.7,40.8,41.2,42.6,39.7,39.1,40.1,39.3,40.4,39.0,35.5,42.1,38.5,42.8,40.7
