,,,,,,,,,,,
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
01/07/1967,346000,166.5,208000,0,1594000,140.6,1134000,0, , , 
01/14/1967,334000,161.5,207000,0,1563000,139.7,1119000,0, , , 
01/21/1967,277000,127.8,217000,0,1551000,138.6,1119000,0, , , 
01/28/1967,252000,123.8,204000,209000,1533000,139,1103000,1118750, , , 
02/04/1967,274000,127.1,216000,211000,1534000,135.6,1131000,1118000, , , 
02/11/1967,276000,120.4,229000,216500,1557000,135,1153000,1126500, , , 
02/18/1967,247000,108.4,229000,219500,1579000,135.3,1167000,1138500, , , 
02/25/1967,248000,102.6,242000,229000,1625000,135.5,1199000,1162500, , , 
03/04/1967,326000,105.4,310000,252500,1621000,131.2,1235000,1188500, , , 
03/11/1967,240000,99.8,241000,255500,1577000,127.8,1234000,1208750, , , 
03/18/1967,225000,92,245000,259500,1525000,123.4,1236000,1226000, , , 
03/25/1967,215000,87.2,247000,260750,1505000,118.7,1268000,1243250, , , 
04/01/1967,223000,86.2,259000,248000,1470000,113.8,1291000,1257250, , , 
04/08/1967,251000,97.6,257000,252000,1410000,110.8,1273000,1267000, , , 
04/15/1967,289000,96.9,299000,265500,1386000,108.5,1278000,1277500, , , 
04/22/1967,218000,89.1,245000,265000,1342000,105.1,1277000,1279750, , , 
04/29/1967,216000,85,255000,264000,1302000,101.3,1286000,1278500, , , 
05/06/1967,221000,87.4,254000,263250,1242000,95,1308000,1287250, , , 
05/13/1967,188000,81.7,231000,246250,1169000,91,1284000,1288750, , , 
05/20/1967,177000,77.3,230000,242500,1129000,89.3,1265000,1285750, , , 
05/27/1967,170000,75,228000,235750,1062000,84.8,1253000,1277500, , , 
06/03/1967,175000,70.8,248000,234250,1085000,85.8,1265000,1266750, , , 
06/10/1967,188000,79.3,238000,236000,1038000,83,1251000,1258500, , , 
06/17/1967,176000,78.8,224000,234500,1023000,82,1248000,1254250, , , 
06/24/1967,178000,81.6,218000,232000,1008000,82.6,1220000,1246000, , , 
07/01/1967,206000,98.9,209000,222250,980000,82.2,1193000,1228000, , , 
07/08/1967,322000,134.7,240000,222750,1139000,91.3,1248000,1227250, , , 
07/15/1967,309000,128.1,241000,227000,1212000,96.3,1258000,1229750, , , 
07/22/1967,282000,117.8,240000,232500,1184000,94.5,1252000,1237750, , , 
07/29/1967,243000,116.4,209000,232500,1205000,94.2,1280000,1259500, , , 
08/05/1967,250000,113.5,221000,227750,1174000,94.7,1240000,1257500, , , 
08/12/1967,193000,95.5,202000,218000,1132000,93.2,1215000,1246750, , , 
08/19/1967,174000,81.1,215000,211750,1064000,88.5,1202000,1234250, , , 
08/26/1967,160000,75.5,213000,212750,994000,84.2,1180000,1209250, , , 
09/02/1967,163000,74.8,218000,212000,931000,77.3,1204000,1200250, , , 
09/09/1967,156000,68,231000,219250,938000,78.9,1189000,1193750, , , 
09/16/1967,165000,75.2,220000,220500,891000,75.6,1179000,1188000, , , 
09/23/1967,155000,74.4,209000,219500,878000,74.6,1178000,1187500, , , 
09/30/1967,154000,75.5,204000,216000,860000,74.3,1157000,1175750, , , 
10/07/1967,195000,84.4,231000,216000,859000,73.7,1165000,1169750, , , 
10/14/1967,159000,77.3,206000,212500,901000,75.8,1189000,1172250, , , 
