DATE,NFCICREDIT
1971-01-08,-1.90407
1971-01-15,-1.90886
1971-01-22,-1.91133
1971-01-29,-1.91241
1971-02-05,-1.91255
1971-02-12,-1.91254
1971-02-19,-1.91328
1971-02-26,-1.91566
1971-03-05,-1.92049
1971-03-12,-1.92849
1971-03-19,-1.94016
1971-03-26,-1.95574
1971-04-02,-1.97515
1971-04-09,-1.99821
1971-04-16,-2.02432
1971-04-23,-2.05238
1971-04-30,-2.08170
1971-05-07,-2.11102
1971-05-14,-2.13928
1971-05-21,-2.16536
1971-05-28,-2.18818
1971-06-04,-2.20677
1971-06-11,-2.22028
1971-06-18,-2.22778
1971-06-25,-2.22844
1971-07-02,-2.22168
1971-07-09,-2.20695
1971-07-16,-2.18401
1971-07-23,-2.15289
1971-07-30,-2.11396
1971-08-06,-2.06782
1971-08-13,-2.01554
1971-08-20,-1.95841
1971-08-27,-1.89812
1971-09-03,-1.83627
1971-09-10,-1.77459
1971-09-17,-1.71472
1971-09-24,-1.65816
1971-10-01,-1.60619
1971-10-08,-1.55997
1971-10-15,-1.52054
1971-10-22,-1.48850
1971-10-29,-1.46457
1971-11-05,-1.44911
1971-11-12,-1.44238
1971-11-19,-1.44430
1971-11-26,-1.45465
1971-12-03,-1.47288
1971-12-10,-1.49832
1971-12-17,-1.53006
1971-12-24,-1.56706
1971-12-31,-1.60815
1972-01-07,-1.65219
1972-01-14,-1.69809
1972-01-21,-1.74440
1972-01-28,-1.79050
1972-02-04,-1.83543
1972-02-11,-1.87848
1972-02-18,-1.91908
1972-02-25,-1.95679
1972-03-03,-1.99124
1972-03-10,-2.02218
1972-03-17,-2.04942
1972-03-24,-2.07281
1972-03-31,-2.09235
1972-04-07,-2.10810
1972-04-14,-2.12027
1972-04-21,-2.12919
1972-04-28,-2.13544
1972-05-05,-2.13958
1972-05-12,-2.14231
1972-05-19,-2.14435
1972-05-26,-2.14643
1972-06-02,-2.14924
1972-06-09,-2.15337
1972-06-16,-2.15933
1972-06-23,-2.16755
1972-06-30,-2.17836
1972-07-07,-2.19197
1972-07-14,-2.20842
1972-07-21,-2.22776
1972-07-28,-2.24965
1972-08-04,-2.27366
1972-08-11,-2.29916
1972-08-18,-2.32543
1972-08-25,-2.35159
1972-09-01,-2.37677
1972-09-08,-2.40011
1972-09-15,-2.42088
1972-09-22,-2.43860
1972-09-29,-2.45299
1972-10-06,-2.46409
1972-10-13,-2.47205
1972-10-20,-2.47744
1972-10-27,-2.48063
1972-11-03,-2.48211
1972-11-10,-2.48259
1972-11-17,-2.48235
1972-11-24,-2.48185
1972-12-01,-2.48138
1972-12-08,-2.48126
1972-12-15,-2.48176
1972-12-22,-2.48316
1972-12-29,-2.48573
1973-01-05,-2.48976
1973-01-12,-2.49521
1973-01-19,-2.50241
1973-01-26,-2.51084
1973-02-02,-2.52000
1973-02-09,-2.52958
1973-02-16,-2.53844
1973-02-23,-2.54588
1973-03-02,-2.55110
1973-03-09,-2.55348
1973-03-16,-2.55256
1973-03-23,-2.54812
1973-03-30,-2.54010
1973-04-06,-2.52859
1973-04-13,-2.51344
1973-04-20,-2.49494
1973-04-27,-2.47244
1973-05-04,-2.44525
1973-05-11,-2.41299
1973-05-18,-2.37420
1973-05-25,-2.32808
1973-06-01,-2.27374
1973-06-08,-2.21059
1973-06-15,-2.13841
1973-06-22,-2.05740
1973-06-29,-1.96808
1973-07-06,-1.87119
1973-07-13,-1.76756
1973-07-20,-1.65863
1973-07-27,-1.54485
1973-08-03,-1.42697
1973-08-10,-1.30641
1973-08-17,-1.18326
1973-08-24,-1.05882
1973-08-31,-0.93433
1973-09-07,-0.81139
1973-09-14,-0.69200
1973-09-21,-0.57832
1973-09-28,-0.47263
1973-10-05,-0.37707
1973-10-12,-0.29362
1973-10-19,-0.22357
1973-10-26,-0.16750
1973-11-02,-0.12536
1973-11-09,-0.09668
1973-11-16,-0.07991
1973-11-23,-0.07385
1973-11-30,-0.07692
1973-12-07,-0.08774
1973-12-14,-0.10505
1973-12-21,-0.12789
1973-12-28,-0.15543
1974-01-04,-0.18694
1974-01-11,-0.22171
1974-01-18,-0.25888
1974-01-25,-0.29740
1974-02-01,-0.33583
1974-02-08,-0.37276
1974-02-15,-0.40628
1974-02-22,-0.43487
1974-03-01,-0.45695
1974-03-08,-0.47140
1974-03-15,-0.47742
1974-03-22,-0.47474
1974-03-29,-0.46351
1974-04-05,-0.44417
1974-04-12,-0.41724
1974-04-19,-0.38397
1974-04-26,-0.34451
1974-05-03,-0.29918
1974-05-10,-0.24875
1974-05-17,-0.19281
1974-05-24,-0.13174
1974-05-31,-0.06585
1974-06-07,0.00411
1974-06-14,0.07714
1974-06-21,0.15175
1974-06-28,0.22635
1974-07-05,0.29935
1974-07-12,0.36929
1974-07-19,0.43463
1974-07-26,0.49562
1974-08-02,0.55236
1974-08-09,0.60512
1974-08-16,0.65563
1974-08-23,0.70452
1974-08-30,0.75240
1974-09-06,0.79924
1974-09-13,0.84426
1974-09-20,0.88600
1974-09-27,0.92255
1974-10-04,0.95177
1974-10-11,0.97146
1974-10-18,0.97976
1974-10-25,0.97595
1974-11-01,0.95953
1974-11-08,0.93069
1974-11-15,0.89054
1974-11-22,0.83979
1974-11-29,0.77935
1974-12-06,0.70989
1974-12-13,0.63182
1974-12-20,0.54509
1974-12-27,0.44957
1975-01-03,0.34515
1975-01-10,0.23162
1975-01-17,0.10932
1975-01-24,-0.02105
1975-01-31,-0.15837
1975-02-07,-0.30102
1975-02-14,-0.44717
1975-02-21,-0.59485
1975-02-28,-0.74200
1975-03-07,-0.88660
1975-03-14,-1.02688
1975-03-21,-1.16131
1975-03-28,-1.28865
1975-04-04,-1.40787
1975-04-11,-1.51853
1975-04-18,-1.62003
1975-04-25,-1.71235
1975-05-02,-1.79524
1975-05-09,-1.86906
1975-05-16,-1.93371
1975-05-23,-1.98962
1975-05-30,-2.03730
1975-06-06,-2.07742
1975-06-13,-2.11091
1975-06-20,-2.13886
1975-06-27,-2.16231
1975-07-04,-2.18211
1975-07-11,-2.19916
1975-07-18,-2.21376
1975-07-25,-2.22603
1975-08-01,-2.23538
1975-08-08,-2.24157
1975-08-15,-2.24318
1975-08-22,-2.23967
1975-08-29,-2.23053
1975-09-05,-2.21583
1975-09-12,-2.19622
1975-09-19,-2.17290
1975-09-26,-2.14751
1975-10-03,-2.12199
1975-10-10,-2.09847
1975-10-17,-2.07860
1975-10-24,-2.06360
1975-10-31,-2.05393
1975-11-07,-2.04973
1975-11-14,-2.04983
1975-11-21,-2.05343
1975-11-28,-2.05930
1975-12-05,-2.06658
1975-12-12,-2.07467
1975-12-19,-2.08338
1975-12-26,-2.09297
1976-01-02,-2.10395
1976-01-09,-2.11684
1976-01-16,-2.13215
1976-01-23,-2.14993
1976-01-30,-2.16998
1976-02-06,-2.19167
1976-02-13,-2.21405
1976-02-20,-2.23610
1976-02-27,-2.25680
1976-03-05,-2.27535
1976-03-12,-2.29113
1976-03-19,-2.30394
1976-03-26,-2.31379
1976-04-02,-2.32097
1976-04-09,-2.32571
1976-04-16,-2.32844
1976-04-23,-2.32907
1976-04-30,-2.32765
1976-05-07,-2.32372
1976-05-14,-2.31679
1976-05-21,-2.30609
1976-05-28,-2.29107
1976-06-04,-2.27126
1976-06-11,-2.24642
1976-06-18,-2.21660
1976-06-25,-2.18203
1976-07-02,-2.14320
1976-07-09,-2.10058
1976-07-16,-2.05490
1976-07-23,-2.00662
1976-07-30,-1.95632
1976-08-06,-1.90446
1976-08-13,-1.85150
1976-08-20,-1.79777
1976-08-27,-1.74374
1976-09-03,-1.68992
1976-09-10,-1.63684
1976-09-17,-1.58506
1976-09-24,-1.53520
1976-10-01,-1.48785
1976-10-08,-1.44346
1976-10-15,-1.40268
1976-10-22,-1.36578
1976-10-29,-1.33326
1976-11-05,-1.30553
1976-11-12,-1.28284
1976-11-19,-1.26581
1976-11-26,-1.25492
1976-12-03,-1.25061
1976-12-10,-1.25315
1976-12-17,-1.26252
1976-12-24,-1.27827
1976-12-31,-1.29960
1977-01-07,-1.32535
1977-01-14,-1.35402
1977-01-21,-1.38378
1977-01-28,-1.41316
1977-02-04,-1.44060
1977-02-11,-1.46470
1977-02-18,-1.48462
1977-02-25,-1.49956
1977-03-04,-1.50901
1977-03-11,-1.51270
1977-03-18,-1.51047
1977-03-25,-1.50228
1977-04-01,-1.48811
1977-04-08,-1.46801
1977-04-15,-1.44207
1977-04-22,-1.41044
1977-04-29,-1.37362
1977-05-06,-1.33212
1977-05-13,-1.28663
1977-05-20,-1.23826
1977-05-27,-1.18812
1977-06-03,-1.13747
1977-06-10,-1.08758
1977-06-17,-1.03967
1977-06-24,-0.99480
1977-07-01,-0.95382
1977-07-08,-0.91733
1977-07-15,-0.88559
1977-07-22,-0.85873
1977-07-29,-0.83653
1977-08-05,-0.81862
1977-08-12,-0.80449
1977-08-19,-0.79366
1977-08-26,-0.78549
1977-09-02,-0.77940
1977-09-09,-0.77478
1977-09-16,-0.77098
1977-09-23,-0.76732
1977-09-30,-0.76318
1977-10-07,-0.75782
1977-10-14,-0.75060
1977-10-21,-0.74082
1977-10-28,-0.72776
1977-11-04,-0.71063
1977-11-11,-0.68889
1977-11-18,-0.66183
1977-11-25,-0.62894
1977-12-02,-0.58990
1977-12-09,-0.54456
1977-12-16,-0.49310
1977-12-23,-0.43605
1977-12-30,-0.37436
1978-01-06,-0.30922
1978-01-13,-0.24239
1978-01-20,-0.17548
1978-01-27,-0.11022
1978-02-03,-0.04802
1978-02-10,0.00957
1978-02-17,0.06204
1978-02-24,0.10914
1978-03-03,0.15100
1978-03-10,0.18837
1978-03-17,0.22192
1978-03-24,0.25232
1978-03-31,0.28012
1978-04-07,0.30577
1978-04-14,0.32931
1978-04-21,0.35082
1978-04-28,0.37007
1978-05-05,0.38713
1978-05-12,0.40183
1978-05-19,0.41464
1978-05-26,0.42596
1978-06-02,0.43645
1978-06-09,0.44685
1978-06-16,0.45789
1978-06-23,0.47013
1978-06-30,0.48391
1978-07-07,0.49934
1978-07-14,0.51612
1978-07-21,0.53384
1978-07-28,0.55193
1978-08-04,0.57006
1978-08-11,0.58748
